identificador,tendencia,tweets,link
Trending in Chile,Pancho Malo,288K,https://twitter.com/search?q=Pancho Malo&src=trend_click&vertical=trends
Trending in Chile,Pamela Jiles,"7,355",https://twitter.com/search?q=Pamela Jiles&src=trend_click&vertical=trends
Turkish series · Trending,Ferit,11K,https://twitter.com/search?q=Ferit&src=trend_click&vertical=trends
Trending in Chile,Atria,"1,352",https://twitter.com/search?q=Atria&src=trend_click&vertical=trends
Politics · Trending,Paine,"5,972",https://twitter.com/search?q=Paine&src=trend_click&vertical=trends
Trending in Chile,Perros,447K,https://twitter.com/search?q=Perros&src=trend_click&vertical=trends
Trending in Chile,Mauricio Rojas,"2,489",https://twitter.com/search?q=Mauricio Rojas&src=trend_click&vertical=trends
Politics · Trending,Carabineros,106K,https://twitter.com/search?q=Carabineros&src=trend_click&vertical=trends
Sports · Trending,Quinteros,"1,523",https://twitter.com/search?q=Quinteros&src=trend_click&vertical=trends
Trending in Chile,Pedidos Ya,"3,367",https://twitter.com/search?q=Pedidos Ya&src=trend_click&vertical=trends
Trending in Chile,Amaia Montero,"5,014",https://twitter.com/search?q=Amaia Montero&src=trend_click&vertical=trends
Trending in Chile,Puente Alto,"1,684",https://twitter.com/search?q=Puente Alto&src=trend_click&vertical=trends
Entertainment · Trending,Peluca,"7,516",https://twitter.com/search?q=Peluca&src=trend_click&vertical=trends
Trending in Chile,Maldonado,"4,751",https://twitter.com/search?q=Maldonado&src=trend_click&vertical=trends
Trending in Chile,Martorell,"3,976",https://twitter.com/search?q=Martorell&src=trend_click&vertical=trends
Trending in Chile,Feito,604K,https://twitter.com/search?q=Feito&src=trend_click&vertical=trends
Trending in Chile,Rojas Vade,"1,053",https://twitter.com/search?q=Rojas Vade&src=trend_click&vertical=trends
Trending in Chile,Quilpué,1000,https://twitter.com/search?q=Quilpué&src=trend_click&vertical=trends
Trending in Chile,Vitacura,"2,000",https://twitter.com/search?q=Vitacura&src=trend_click&vertical=trends
Trending in Chile,Antiguos,"5,632",https://twitter.com/search?q=Antiguos&src=trend_click&vertical=trends
